   17    9.33     0.0605    0.00152    0.0155     0.011 0.2221 0.0107  18.18   1.58   23.00   0.05   23.00   0.06  -0.0155  0.002   0.13 1.74772    3.05  0.0276   0.027       34.218       36.975   -3.84   -3.92    213    277    0.0181  0.0066   0.00986 0.00624    0.0235 0.00568    0.0134 0.00505    52     0   1  0     INDEF   2.0
   18   10.26     0.0461     0.0011    0.0118   0.00833 0.2221 0.0113  18.18   1.66   23.00   0.06   23.00   0.07  -0.0111 0.0013  0.116 1.78987    3.34  0.0263  0.0257       36.343       39.074    -3.9   -3.98    253    333    0.0203 0.00698   0.00623 0.00657    0.0253 0.00575    0.0192 0.00539    57     0   1  0     INDEF   2.0
   19   11.29     0.0346    7.42E-4   0.00827   0.00584 0.2221 0.0101  18.18   1.46   23.00   0.06   23.00   0.07 -0.00757 8.3E-4  0.109 1.83303    3.65  0.0235   0.023       38.747       40.964   -3.97   -4.03    313    401    0.0174 0.00621  -0.00171 0.00595     0.021 0.00557    0.0101 0.00523    62     0   1  0     INDEF   2.0
   20   12.42     0.0261    5.63E-4   0.00657   0.00465 0.2221 0.0118  18.18   1.71   23.00   0.08   23.00   0.09 -0.00575 5.9E-4  0.102 1.87723    3.96  0.0237  0.0232       40.556       42.757   -4.02   -4.08    373    489    0.0174 0.00732  -0.00419 0.00716    0.0238 0.00654    0.0176 0.00638    68     0   1  0     INDEF   2.0
   21   13.66      0.019    4.64E-4   0.00568   0.00402 0.2221 0.0043  18.18   0.63   23.00   0.03   23.00   0.04  -0.0131  INDEF  INDEF 1.92249    4.31  0.0269  0.0263       42.366       44.333   -4.07   -4.12    453    593   0.00284 0.00349   0.00481 0.00468   0.00429 0.00431   1.60E-4 0.00262    75     0   1  0     INDEF   2.0
   22   15.03     0.0142    3.59E-4   0.00463   0.00327 0.2221 0.0028  18.18   0.41   23.00   0.02   23.00   0.03  -0.0164  INDEF  INDEF 1.96885    4.62  0.0278  0.0271       43.993       45.566   -4.11   -4.15    553    709   7.32E-4 0.00173   0.00658 0.00551   0.00464 0.00402  -4.96E-4 0.00159    83     0   1  0     INDEF   2.0
   23   16.53    0.00971    3.11E-4    0.0042   0.00297 0.2221 0.0020  18.18   0.29   23.00   0.02   23.00   0.02  -0.0205  INDEF  INDEF 2.01633    5.03  0.0354  0.0342       45.409        46.75   -4.14   -4.17    673    861   0.00133  0.0016   0.00318 0.00281  -2.66E-4  0.0012   0.00158 0.00174    91     0   1  0     INDEF   2.0
   24   18.18    0.00698    2.54E-4    0.0036   0.00254 0.2221 0.0012  18.18   0.17   23.00   0.01   23.00   0.01  -0.0256  INDEF  INDEF 2.06495    5.39  0.0403  0.0389       46.547       47.704   -4.17    -4.2    809   1041   4.05E-4 8.02E-4   4.82E-4 8.31E-4   0.00145 0.00136  -1.01E-4 7.26E-4   100     0   1  0     INDEF   2.0
   25   20.00    0.00505    2.86E-4   0.00424     0.003 0.2221 0.0007  18.18   0.11   23.00   0.01   23.00   0.01    -0.04  INDEF  INDEF 2.11474    5.74  0.0632  0.0598       47.504       48.485   -4.19   -4.21    981   1257   3.58E-5 4.66E-4   1.49E-4 4.82E-4   1.27E-4 4.74E-4  -3.89E-4 5.59E-4   110     0   1  0     INDEF   2.0
   26   22.00    0.00321    2.46E-4   0.00361   0.00255 0.2221 0.0008  18.18   0.10   23.00   0.01   23.00   0.01   -0.032  INDEF  INDEF 2.16574    6.23  0.0865  0.0801       48.283       49.132   -4.21   -4.23   1179   1515   1.32E-4 4.65E-4  -6.24E-4 6.82E-4  -3.09E-4 5.19E-4   1.34E-5 4.57E-4   108    13   1  0     INDEF   2.0
